NN_Predicted_V1,NN_Predicted_V2,NN_Predicted_V3
2414.1904,2414.1323,2414.1387
2414.1687,2414.1165,2414.125
2414.0415,2413.995,2414.006
2415.0732,2415.0361,2415.0483
2417.9568,2417.9321,2417.9448
2414.2688,2414.244,2414.2566
2412.5662,2412.5427,2412.5547
2412.7378,2412.7183,2412.7283
2412.3389,2412.32,2412.3284
2411.3108,2411.2825,2411.2927
2411.432,2411.4023,2411.4106
2413.2737,2413.2454,2413.2507
2415.3364,2415.3086,2415.3113
2417.8347,2417.808,2417.8079
2421.1401,2421.1155,2421.112
2426.2493,2426.2302,2426.2236
2432.0088,2431.9963,2431.9866
2431.9758,2431.9573,2431.9485
2365.1638,2365.2305,2365.1792
2342.3972,2342.4297,2342.3838
2327.8774,2327.94,2327.877
2314.0037,2314.11,2314.0256
2312.9285,2313.095,2312.9885
2326.6877,2326.896,2326.7805
2394.1157,2394.4258,2394.2974
2417.1262,2417.0706,2417.0825
2420.55,2420.5073,2420.5212
2423.294,2423.2634,2423.2786
2426.169,2426.1511,2426.1663
2422.291,2422.2715,2422.2874
2420.959,2420.942,2420.957
2419.4978,2419.4814,2419.495
2418.3435,2418.3267,2418.3384
2417.91,2417.8875,2417.9016
2418.791,2418.7693,2418.7805
2421.3743,2421.3552,2421.3633
2423.477,2423.4595,2423.464
2425.272,2425.2544,2425.2563
2427.8713,2427.855,2427.854
2431.229,2431.2148,2431.2114
2435.5054,2435.4946,2435.489
2431.3242,2431.3933,2431.3567
2422.189,2422.39,2422.3062
2361.5571,2361.705,2361.6257
2351.3071,2351.4797,2351.3872
2358.0852,2358.3235,2358.2085
2413.205,2413.503,2413.3848
2414.554,2414.766,2414.6777
2417.9634,2418.0725,2418.0232
2427.7612,2427.7205,2427.7356
2428.0151,2427.981,2427.9988
2428.3774,2428.3513,2428.3708
2430.5881,2430.5735,2430.593
2427.0396,2427.024,2427.044
2425.3408,2425.3267,2425.346
2424.3071,2424.2937,2424.3118
2423.3418,2423.3286,2423.3447
2422.6687,2422.6562,2422.672
2423.9534,2423.9421,2423.9548
2426.7034,2426.6948,2426.7039
2429.6816,2429.6758,2429.6812
2432.4375,2432.434,2432.4358
2435.335,2435.3333,2435.332
2439.2131,2439.2148,2439.211
2444.3613,2444.3694,2444.3628
2441.2202,2441.2922,2441.26
2432.8984,2433.0737,2433.003
2365.7173,2365.8784,2365.798
2359.2195,2359.4695,2359.3542
2358.904,2359.19,2359.0613
2355.864,2356.154,2356.0234
2410.5881,2410.9714,2410.828
2412.1094,2412.405,2412.2922
2429.181,2429.1445,2429.1619
2427.897,2427.8647,2427.8848
2428.4897,2428.466,2428.4875
2431.3643,2431.3535,2431.3748
2428.727,2428.7166,2428.7385
2426.024,2426.0125,2426.0342
2422.7869,2422.7722,2422.793
2420.3972,2420.3806,2420.3994
2416.3838,2416.3677,2416.3828
2413.0354,2413.0112,2413.0247
2413.1335,2413.1062,2413.118
2413.1995,2413.1685,2413.1777
2414.448,2414.4146,2414.4216
2416.1526,2416.1172,2416.1226
2419.3555,2419.3208,2419.3235
2423.9524,2423.9216,2423.9216
2418.0598,2418.2092,2418.1455
2407.4653,2407.8372,2407.697
2405.014,2405.4612,2405.2952
2347.8174,2348.158,2348.0068
2340.8757,2341.211,2341.0588
2344.4866,2344.7744,2344.6418
2396.4485,2396.7698,2396.6443
2396.6516,2396.8726,2396.7822
2409.8342,2409.7693,2409.788
2409.3083,2409.2488,2409.27
2409.204,2409.1514,2409.174
2411.3806,2411.3384,2411.3618
2408.2627,2408.2214,2408.2449
2406.036,2405.9958,2406.0186
2403.85,2403.8098,2403.8318
2401.866,2401.8242,2401.845
2400.5227,2400.4854,2400.5002
2401.0876,2401.049,2401.0618
2403.9827,2403.9453,2403.9558
2407.1772,2407.1414,2407.1487
2409.3801,2409.3428,2409.348
2411.9873,2411.9495,2411.9521
2415.8652,2415.8296,2415.8296
2420.34,2420.3076,2420.305
2412.1914,2412.3313,2412.2673
2400.991,2401.346,2401.2075
2399.6992,2400.1414,2399.9731
2398.6238,2399.1082,2398.9253
2397.118,2397.617,2397.4287
2394.3018,2394.794,2394.6077
2392.862,2393.3347,2393.1553
2391.421,2391.8489,2391.685
2412.93,2412.8787,2412.8918
2412.0515,2412.0051,2412.0205
2413.241,2413.204,2413.2207
2416.4055,2416.3813,2416.3982
2413.8088,2413.7861,2413.803
2413.1938,2413.1746,2413.1907
2414.212,2414.1978,2414.2122
2415.5278,2415.5176,2415.5298
2417.413,2417.4084,2417.4133
2419.9475,2419.9453,2419.9473
2423.3037,2423.305,2423.3032
2426.2637,2426.2673,2426.262
2429.3801,2429.386,2429.377
2432.9897,2432.9985,2432.986
2437.8047,2437.819,2437.8035
2443.2126,2443.2334,2443.215
2441.2896,2441.3193,2441.2954
2361.2473,2361.2036,2361.1912
2349.0505,2349.0725,2349.0325
2339.755,2339.8477,2339.778
2316.823,2316.8643,2316.807
2326.7183,2326.6836,2326.6584
2345.0374,2344.9365,2344.9414
2419.5493,2419.5327,2419.528
2423.6921,2423.664,2423.6707
2426.7727,2426.7568,2426.7654
2429.7178,2429.7146,2429.724
2433.9478,2433.9602,2433.969
2432.1133,2432.1277,2432.1367
2431.2546,2431.271,2431.2798
2431.1396,2431.1584,2431.1655
2430.2136,2430.2314,2430.2368
2429.2908,2429.302,2429.3047
2429.4346,2429.4453,2429.4448
2431.918,2431.9314,2431.9272
2434.6497,2434.666,2434.6577
2436.7236,2436.741,2436.7292
2439.7446,2439.7644,2439.7495
2443.1802,2443.2031,2443.1855
2446.861,2446.8872,2446.8677
2442.4963,2442.5227,2442.4993
2363.3945,2363.331,2363.3242
2371.3438,2371.353,2371.3203
2366.071,2366.0872,2366.05
2426.6362,2426.7432,2426.6875
2419.5972,2419.7456,2419.6753
2413.6467,2413.824,2413.7434
2412.5518,2412.6484,2412.5981
2413.6152,2413.6646,2413.6348
2419.8813,2419.846,2419.8557
2420.9016,2420.875,2420.8865
2423.3599,2423.3452,2423.357
2419.7864,2419.7715,2419.7832
2418.1528,2418.1396,2418.151
2418.1047,2418.0945,2418.104
2418.3337,2418.3257,2418.3328
2418.001,2417.984,2417.9932
2418.5757,2418.5588,2418.565
2421.5154,2421.502,2421.5046
