XGB_Predicted_V1,XGB_Predicted_V2,XGB_Predicted_V3
2361.4285,2362.3752,2356.638
2356.248,2356.489,2352.5417
2351.6797,2347.9424,2346.4614
2423.9204,2414.0947,2411.778
2418.0527,2408.365,2405.3438
2429.8147,2428.5156,2430.6047
2427.074,2425.9436,2428.3645
2436.5815,2436.0989,2436.4856
2433.834,2433.216,2433.0735
2433.591,2432.8477,2433.4458
2433.105,2431.8809,2433.0251
2419.8975,2419.437,2419.8818
2418.2612,2418.2488,2418.4163
2416.3076,2415.276,2415.7874
2407.9048,2407.801,2407.248
2407.6514,2404.6838,2407.391
2406.0752,2404.5693,2404.7278
2406.5647,2405.82,2406.0798
2406.9001,2406.1887,2406.061
2414.9297,2413.9995,2413.6052
2414.94,2413.053,2413.0447
2419.4644,2409.631,2409.8875
2416.0356,2404.1423,2402.3318
2414.7588,2405.6343,2401.8525
2355.0793,2357.0376,2350.9485
2351.366,2352.763,2348.5256
2348.9143,2344.3196,2341.0776
2397.91,2390.411,2386.8696
2395.9202,2385.8604,2383.545
2405.9758,2404.5522,2406.5132
2403.846,2403.978,2404.6353
2403.1243,2403.239,2404.3845
2406.626,2404.0637,2405.431
2403.3865,2402.8982,2404.5432
2403.819,2402.6746,2403.8745
2402.959,2402.438,2402.407
2403.2415,2401.8682,2402.583
2393.1187,2391.8894,2392.5227
2393.8838,2393.1543,2393.3586
2391.5115,2392.551,2392.539
2403.821,2403.7432,2401.9136
2404.3105,2404.5134,2402.4038
2404.646,2404.9133,2403.6704
2410.1719,2412.7568,2410.4736
2411.452,2412.2012,2410.6213
2412.2715,2404.092,2400.7905
2398.3813,2386.241,2381.853
2409.4722,2402.072,2395.2551
2409.9368,2403.4426,2396.4827
2407.5742,2400.029,2393.2278
2404.3352,2395.3557,2389.5999
2396.686,2391.5466,2384.6648
2394.1567,2387.6484,2382.617
2405.7917,2406.7622,2406.2708
2403.4297,2404.418,2403.411
2404.366,2404.29,2404.503
2416.6504,2416.422,2416.5432
2415.572,2414.4111,2415.3696
2415.4785,2414.0261,2414.4883
2416.4185,2414.6062,2416.0469
2416.2063,2415.4216,2415.575
2416.5144,2415.9705,2415.9338
2418.2314,2419.9001,2419.337
2418.9805,2420.4724,2419.5852
2419.513,2421.2617,2421.299
2420.4692,2421.4185,2421.4712
2421.4316,2422.4421,2422.9258
2447.4321,2448.046,2447.1184
2447.9678,2448.8699,2448.7983
2450.2375,2450.359,2450.2935
2363.043,2362.4136,2370.6797
2357.9314,2359.0403,2357.1436
2347.8389,2350.1416,2347.2693
2330.0315,2330.923,2328.453
2335.633,2332.4644,2332.8843
2353.1658,2348.9304,2358.1116
2413.749,2413.8862,2414.986
2426.5894,2425.7744,2424.5398
2426.588,2426.707,2427.5989
2437.442,2437.1692,2438.6768
2434.686,2434.4268,2433.988
2434.2422,2433.9756,2434.4163
2434.1487,2433.5356,2433.5503
2433.7756,2433.4773,2433.2415
2433.4553,2432.9663,2432.9346
2432.4622,2432.4749,2432.3696
2432.524,2432.6743,2432.5688
2432.7742,2432.8557,2432.6687
2432.7063,2432.6995,2433.2485
2433.255,2432.6777,2433.6365
2433.3152,2433.2346,2434.0808
2447.983,2449.0745,2448.023
2451.5837,2451.0564,2451.3582
2449.6582,2449.9648,2449.6055
2370.82,2375.1487,2378.7007
2362.7246,2364.3284,2363.2349
2362.601,2362.6016,2362.7874
2432.5603,2423.4705,2424.342
2426.6968,2415.0933,2414.0037
2417.0974,2409.3093,2406.6372
2402.1975,2394.178,2393.741
2413.6274,2417.0625,2415.795
2423.3835,2422.4114,2421.7078
2421.0781,2421.0947,2420.5269
2419.5376,2420.5132,2419.5176
2418.4849,2419.0513,2418.6914
2417.6738,2417.6726,2418.0667
2417.7505,2417.614,2417.7576
2417.4216,2417.1404,2417.529
2416.093,2414.7537,2415.0793
2416.0557,2416.723,2416.6467
2417.7566,2419.027,2418.602
2418.6357,2419.6755,2419.4915
2419.7368,2420.699,2420.9355
2420.2732,2421.1526,2421.3623
2434.1902,2433.7715,2433.7954
