LR_Predicted_V1,LR_Predicted_V2,LR_Predicted_V3
2383.9530324596167,2383.96524455592,2383.946614342034
2387.5766314142943,2387.598944695741,2387.5335183337334
2401.7739808672663,2401.8065708716213,2401.7607683947685
2412.307312964797,2412.3569373433293,2412.328894920647
2410.3311365932227,2410.3851200078425,2410.323942833245
2411.0812948578596,2411.123183133155,2411.0598943713308
2413.5595110195873,2413.579294580668,2413.5325539782643
2410.7283088344334,2410.7208370839057,2410.674723472893
2411.6311006277797,2411.632937424332,2411.568870201409
2411.7719471353294,2411.7671893317997,2411.751138572991
2409.9786744374037,2410.0054134373368,2409.9800402453543
2408.940778531432,2408.929235640615,2408.9070641711355
2409.147524897456,2409.1545827393234,2409.103088646233
2411.1776596325635,2411.23625963971,2411.152748070061
2413.4527696365117,2413.487957615107,2413.4328222277763
2415.653288952708,2415.6696283449232,2415.637237816155
2418.0492377513647,2418.0190635894237,2418.0376778796317
2420.811611792445,2420.774652828723,2420.7957766345144
2424.571268567443,2424.582732697278,2424.5615099719166
2423.994255263209,2424.0534484137593,2423.997509727776
2418.3668492788074,2418.363027856201,2418.350629234612
2347.997003135085,2348.0168147866425,2347.9692451098563
2339.0896553462744,2339.1063363720473,2339.0668967440724
2352.892465328574,2352.910145704895,2352.8646984484794
2413.7619522684813,2413.7640101616084,2413.752651634514
2412.22531425178,2412.2191394124925,2412.19477291137
2410.8504572981597,2410.8594677929577,2410.8088454821705
2411.7612481468914,2411.8097080324587,2411.744260521233
2412.885528478026,2412.8586996500194,2412.8344317248466
2413.708752841353,2413.7293692742287,2413.6632369616627
2416.610878641009,2416.6280083198844,2416.600165062249
2413.413533295989,2413.38087173894,2413.333090477288
2411.919476312995,2411.9125695739685,2411.8886996081474
2412.249882299304,2412.2677763466536,2412.22572414428
2412.1372104662655,2412.114498143345,2412.088163109124
2411.2108244818446,2411.186239219159,2411.152748070061
2411.3571313017605,2411.338355562538,2411.341894493401
2413.135446907878,2413.149137768596,2413.140505028069
2415.0924618142844,2415.0770596329867,2415.0732375720145
2417.3058964818715,2417.3166017328203,2417.3051653674247
2420.2118236798046,2420.2281622727214,2420.2008251574634
2424.817654249072,2424.8221832980216,2424.836632042229
2429.980067285895,2430.0143808563053,2429.9917318347098
2428.8909801119567,2428.8835553471745,2428.874048424065
2360.2633295744654,2360.2786949579418,2360.2568845751885
2337.4142931574584,2337.4254809994995,2337.398539314568
2321.4747346657514,2321.4917809371645,2321.4668220523
2305.7855513089894,2305.8073972110446,2305.771537819207
2301.922470979094,2301.937490275949,2301.905105505288
2316.0467140358683,2316.0581582878526,2316.017255668938
2387.6452580708265,2387.685278276056,2387.6332500842213
2414.436539272666,2414.4432683993873,2414.402627525628
2418.242410573363,2418.2553442601857,2418.2233852770923
2421.131278492808,2421.1369449321924,2421.108727989495
2424.7159567707777,2424.698361266106,2424.674997825921
2421.2315185445545,2421.2360656876863,2421.1981426623465
2420.1129335945843,2420.128759447187,2420.094215355218
2418.9481408351658,2418.942963859886,2418.931824608147
2418.1878275984523,2418.1698367421327,2418.1649218371513
2418.0322305238246,2418.055712546855,2418.0686291125417
2419.197359095812,2419.1967664529384,2419.1794344714285
2421.9166886818407,2421.9176543612775,2421.9272161486747
2424.0447597944735,2424.0230654408037,2424.04909511596
2425.6378277552126,2425.64958875075,2425.655120201409
2427.852471348047,2427.8819044847787,2427.8801699450614
2430.679946013689,2430.673927771002,2430.693293114007
2434.260319174528,2434.260945319086,2434.276758079827
2428.371556984186,2428.3637069781125,2428.3581945422293
2416.3805229723453,2416.414803664833,2416.3869454577566
2354.8515807425974,2354.8688602153957,2354.8593334582447
2343.573308907747,2343.5849168752134,2343.589645653069
2349.546675716638,2349.53420385465,2349.5408799365164
2405.9276985800266,2405.9748676140607,2405.9529409411552
2409.5660598552226,2409.5647595901787,2409.5570400622487
2415.395322774649,2415.4566251684723,2415.4033840563893
2424.454901117086,2424.4954924632607,2424.4652172473075
2425.1216301071645,2425.129397868067,2425.1151931384206
2425.8967862594127,2425.9454869394003,2425.878656883538
2428.33567876935,2428.355567242652,2428.3272433093193
2425.136842416525,2425.1445423428713,2425.101437034905
2423.6204740464686,2423.6341110025346,2423.602021751702
2422.874332100153,2422.8883916904033,2422.862631187737
2422.326064351797,2422.3262731109558,2422.315826072991
2422.219573149085,2422.2448690404,2422.2298504260184
2423.807859138846,2423.851022863835,2423.825558433831
2426.741994592547,2426.778654680103,2426.786559715569
2429.8309933704136,2429.8317069251834,2429.8541707995537
2432.5010256713626,2432.4931452144683,2432.5297329333425
2435.075304376483,2435.0627965693175,2435.0952462390064
2438.4151752918956,2438.44570957914,2438.458613548577
2443.540004186034,2443.508336249441,2443.5414937976
2439.031928655505,2439.006484967917,2439.0226137927175
2428.5127544158695,2428.5182276327905,2428.540462913811
2360.9146380513903,2360.93630096212,2360.9515678027274
2350.828151590228,2350.834392275363,2350.8580268481373
2349.9057684916256,2349.911721024364,2349.915733757317
2347.540654003024,2347.5486926902827,2347.558281517327
2403.7728044384717,2403.793089428991,2403.8138668444753
2407.983370181918,2408.049768117517,2408.0369906237725
2425.8305791324374,2425.852914238423,2425.8545837023858
2425.058243805766,2425.0691893462836,2425.080802879632
2426.0184864133594,2426.026212698668,2426.0368520739676
2429.082352978587,2429.0806081344185,2429.0907070544363
2426.7321217030285,2426.725988173932,2426.75216945678
2424.2849211901425,2424.328513715118,2424.282948875725
2421.499033553004,2421.5048582886157,2421.504215965569
2419.667155842185,2419.6570375998317,2419.6540200427175
2416.3263597631453,2416.327361952215,2416.342238121331
2413.2729906988143,2413.23761373803,2413.26430995971
2413.2153518295286,2413.234349784702,2413.2471148303152
2412.934625954628,2412.9679279153047,2412.9788708117603
2413.7029315304753,2413.729449865669,2413.732017479241
2414.7331843423844,2414.8206848298014,2414.8187496569753
2417.25941498518,2417.3162793670595,2417.325799522698
2421.175029833317,2421.2193026681243,2421.2290938952565
2412.1667166376114,2412.19411577031,2412.22572414428
2396.430546386242,2396.4839763630926,2396.4921807482838
2391.820746512413,2391.841022901684,2391.8426177600027
2329.0161060643195,2329.033178681582,2329.047724724114
2322.0781579494474,2322.1099978749453,2322.1249656298755
